T,CX 120530 (Condenser He4),T,CX 120536 (EV 4),T,CX 120560 (IC),T,CX 120258 (UC)
4.22,322.28,0.639,1775.7,0.291,6156.7,0.239,1950
4.223,322.15,0.642,1767.9,0.291,6178.3,0.239,1947.8
4.227,321.97,0.65,1742.9,0.292,6121.5,0.239,1864.4
4.228,321.93,0.658,1717.9,0.292,6111.3,0.239,1874.5
4.228,321.95,0.663,1701.9,0.292,6130.6,0.239,1871.3
4.229,321.9,0.676,1664.2,0.293,6102.5,0.24,1950
4.229,321.9,0.682,1646.4,0.293,6082.3,0.24,1952.2
4.229,321.91,0.684,1641.9,0.293,6104,0.24,1944.8
4.229,321.92,0.687,1632.3,0.294,6058,0.24,1852.6
4.229,321.91,0.687,1633.1,0.294,6051.4,0.24,1861.5
4.23,321.86,0.699,1599.8,0.294,6077.7,0.241,1937.2
4.23,321.87,0.702,1591.6,0.295,6035.9,0.241,1942.7
4.23,321.88,0.704,1588.1,0.295,6011.4,0.241,1864
4.23,321.86,0.706,1582.7,0.295,5997,0.241,1867.4
4.231,321.81,0.707,1577.8,0.295,6024.7,0.241,1871
4.231,321.83,0.723,1539.4,0.296,5986.2,0.242,1854.1
4.232,321.79,0.725,1533.8,0.296,5960.5,0.242,1859
4.233,321.73,0.732,1517.9,0.296,5968.6,0.243,1846
4.233,321.76,0.741,1495.6,0.297,5931.4,0.243,1850.3
4.234,321.71,0.749,1477,0.297,5939.7,0.244,1908.1
4.234,321.66,0.754,1467.2,0.298,5905.4,0.244,1907.3
4.234,321.66,0.758,1458.3,0.298,5880.3,0.244,1837.2
4.234,321.66,0.771,1431,0.298,5879.5,0.244,1841.3
4.234,321.66,0.773,1425.8,0.298,5909.9,0.245,1901.3
4.234,321.66,0.773,1426.9,0.299,5842.8,0.245,1896.1
4.234,321.66,0.781,1408.8,0.299,5848.5,0.245,1833.8
4.234,321.66,0.786,1400.3,0.3,5784.9,0.245,1834.6
4.234,321.66,0.789,1393.8,0.3,5814.9,0.246,1894.9
4.234,321.66,0.79,1391.8,0.3,5816.6,0.246,1900.8
4.234,321.66,0.797,1377.1,0.301,5754,0.246,1825.1
4.234,321.66,0.799,1373.7,0.301,5752.7,0.246,1828.5
4.234,321.66,0.805,1361.6,0.301,5784.2,0.247,1881.7
4.234,321.67,0.805,1362.1,0.302,5725.8,0.247,1895.4
4.234,321.67,0.808,1355.9,0.302,5716.2,0.247,1882.2
